関数名,サンプル数 (関数のみ),サンプル % (関数のみ),命令ポインター アドレス,ソース開始行,ソース開始文字番号,ソース終了行,ソース終了文字番号,関数アドレス,関数行番号,ソース ファイル,モジュール名,モジュール パス,プロセス名,プロセス ID,
"aqua::FFTAnalyzer::getFreqSize(void)",7,0.23,0x013CC46A,89,0,89,0,0x013CC460,89,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftanalyzer.hpp","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"aqua::FFTAnalyzer::getFreqSize(void)",10,0.33,0x013CC473,89,0,89,0,0x013CC460,89,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftanalyzer.hpp","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"aqua::FFTAnalyzer::getFreqSize(void)",586,19.06,0x013CC47D,89,0,89,0,0x013CC460,89,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftanalyzer.hpp","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"aqua::FFTAnalyzer::getFreqSize(void)",28,0.91,0x013CC47F,89,0,89,0,0x013CC460,89,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftanalyzer.hpp","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"aqua::FFTAnalyzer::getFreqSize(void)",1,0.03,0x013CC480,89,0,89,0,0x013CC460,89,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftanalyzer.hpp","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"aqua::FFTAnalyzer::getFreqSize(void)",14,0.46,0x013CC483,90,0,90,0,0x013CC460,89,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftanalyzer.hpp","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"aqua::FFTAnalyzer::getFreqSize(void)",31,1.01,0x013CC486,90,0,90,0,0x013CC460,89,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftanalyzer.hpp","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"aqua::FFTAnalyzer::getFreqSize(void)",70,2.28,0x013CC489,91,0,91,0,0x013CC460,89,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftanalyzer.hpp","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"aqua::FFTAnalyzer::getFreqSize(void)",8,0.26,0x013CC48E,91,0,91,0,0x013CC460,89,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftanalyzer.hpp","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"aqua::FFTAnalyzer::getPowerSpectrum(int)",12,0.39,0x013CC3F3,81,0,81,0,0x013CC3F0,81,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftanalyzer.hpp","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"aqua::FFTAnalyzer::getPowerSpectrum(int)",7,0.23,0x013CC3FB,81,0,81,0,0x013CC3F0,81,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftanalyzer.hpp","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"aqua::FFTAnalyzer::getPowerSpectrum(int)",15,0.49,0x013CC408,81,0,81,0,0x013CC3F0,81,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftanalyzer.hpp","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"aqua::FFTAnalyzer::getPowerSpectrum(int)",741,24.11,0x013CC40D,81,0,81,0,0x013CC3F0,81,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftanalyzer.hpp","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"aqua::FFTAnalyzer::getPowerSpectrum(int)",33,1.07,0x013CC40F,81,0,81,0,0x013CC3F0,81,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftanalyzer.hpp","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"aqua::FFTAnalyzer::getPowerSpectrum(int)",43,1.40,0x013CC410,81,0,81,0,0x013CC3F0,81,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftanalyzer.hpp","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"aqua::FFTAnalyzer::getPowerSpectrum(int)",24,0.78,0x013CC413,82,0,82,0,0x013CC3F0,81,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftanalyzer.hpp","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"aqua::FFTAnalyzer::getPowerSpectrum(int)",44,1.43,0x013CC416,82,0,82,0,0x013CC3F0,81,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftanalyzer.hpp","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"aqua::FFTAnalyzer::getPowerSpectrum(int)",82,2.67,0x013CC419,82,0,82,0,0x013CC3F0,81,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftanalyzer.hpp","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"aqua::FFTAnalyzer::getPowerSpectrum(int)",22,0.72,0x013CC41C,82,0,82,0,0x013CC3F0,81,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftanalyzer.hpp","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"aqua::FFTAnalyzer::getPowerSpectrum(int)",4,0.13,0x013CC41F,82,0,82,0,0x013CC3F0,81,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftanalyzer.hpp","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"aqua::FFTAnalyzer::getPowerSpectrum(int)",12,0.39,0x013CC422,83,0,83,0,0x013CC3F0,81,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftanalyzer.hpp","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"aqua::FFTAnalyzer::getPowerSpectrum(int)",47,1.53,0x013CC42D,83,0,83,0,0x013CC3F0,81,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftanalyzer.hpp","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"aqua::FFTAnalyzer::getPowerSpectrum(int)",4,0.13,0x013CC433,83,0,83,0,0x013CC3F0,81,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftanalyzer.hpp","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"aqua::FFTAnalyzer::getPowerSpectrum(int)",5,0.16,0x013CC438,83,0,83,0,0x013CC3F0,81,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftanalyzer.hpp","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"aqua::FFTAnalyzer::getPowerSpectrum(int)",2,0.07,0x013CC43E,83,0,83,0,0x013CC3F0,81,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftanalyzer.hpp","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"aqua::FFTAnalyzer::getPowerSpectrum(int)",38,1.24,0x013CC444,83,0,83,0,0x013CC3F0,81,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftanalyzer.hpp","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"aqua::FFTAnalyzer::getPowerSpectrum(int)",20,0.65,0x013CC447,84,0,84,0,0x013CC3F0,81,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftanalyzer.hpp","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"aqua::FFTAnalyzer::getPowerSpectrum(int)",47,1.53,0x013CC450,84,0,84,0,0x013CC3F0,81,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftanalyzer.hpp","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"aqua::FFTAnalyzer::getPowerSpectrum(int)",71,2.31,0x013CC453,85,0,85,0,0x013CC3F0,81,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftanalyzer.hpp","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"aqua::FFTAnalyzer::getPowerSpectrum(int)",12,0.39,0x013CC458,85,0,85,0,0x013CC3F0,81,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftanalyzer.hpp","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"aqua::FFTViewer::render(int,int,int,int)",7,0.23,0x013CC30F,48,0,48,0,0x013CC2A0,42,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftviewer.h","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"aqua::FFTViewer::render(int,int,int,int)",10,0.33,0x013CC31B,48,0,48,0,0x013CC2A0,42,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftviewer.h","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"aqua::FFTViewer::render(int,int,int,int)",14,0.46,0x013CC32B,50,0,50,0,0x013CC2A0,42,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftviewer.h","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"aqua::FFTViewer::render(int,int,int,int)",13,0.42,0x013CC334,50,0,50,0,0x013CC2A0,42,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftviewer.h","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"aqua::FFTViewer::render(int,int,int,int)",10,0.33,0x013CC339,50,0,50,0,0x013CC2A0,42,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftviewer.h","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"aqua::FFTViewer::render(int,int,int,int)",7,0.23,0x013CC33F,51,0,51,0,0x013CC2A0,42,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftviewer.h","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"aqua::FFTViewer::render(int,int,int,int)",31,1.01,0x013CC345,51,0,51,0,0x013CC2A0,42,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftviewer.h","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"aqua::FFTViewer::render(int,int,int,int)",186,6.05,0x013CC348,51,0,51,0,0x013CC2A0,42,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftviewer.h","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"aqua::FFTViewer::render(int,int,int,int)",10,0.33,0x013CC34B,52,0,52,0,0x013CC2A0,42,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftviewer.h","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"aqua::FFTViewer::render(int,int,int,int)",54,1.76,0x013CC351,52,0,52,0,0x013CC2A0,42,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftviewer.h","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"aqua::FFTViewer::render(int,int,int,int)",27,0.88,0x013CC354,52,0,52,0,0x013CC2A0,42,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftviewer.h","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"aqua::FFTViewer::render(int,int,int,int)",14,0.46,0x013CC35E,52,0,52,0,0x013CC2A0,42,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftviewer.h","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"aqua::FFTViewer::render(int,int,int,int)",12,0.39,0x013CC368,52,0,52,0,0x013CC2A0,42,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftviewer.h","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"aqua::FFTViewer::render(int,int,int,int)",9,0.29,0x013CC372,52,0,52,0,0x013CC2A0,42,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftviewer.h","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"aqua::FFTViewer::render(int,int,int,int)",14,0.46,0x013CC378,52,0,52,0,0x013CC2A0,42,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftviewer.h","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"aqua::FFTViewer::render(int,int,int,int)",12,0.39,0x013CC37A,52,0,52,0,0x013CC2A0,42,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftviewer.h","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"aqua::FFTViewer::render(int,int,int,int)",10,0.33,0x013CC37F,53,0,53,0,0x013CC2A0,42,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftviewer.h","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"aqua::FFTViewer::render(int,int,int,int)",12,0.39,0x013CC391,53,0,53,0,0x013CC2A0,42,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftviewer.h","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"aqua::FFTViewer::render(int,int,int,int)",11,0.36,0x013CC397,53,0,53,0,0x013CC2A0,42,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftviewer.h","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"aqua::FFTViewer::render(int,int,int,int)",1,0.03,0x013CC39D,53,0,53,0,0x013CC2A0,42,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftviewer.h","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"aqua::FFTViewer::render(int,int,int,int)",17,0.55,0x013CC3A3,53,0,53,0,0x013CC2A0,42,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftviewer.h","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"aqua::FFTViewer::render(int,int,int,int)",1,0.03,0x013CC3A9,53,0,53,0,0x013CC2A0,42,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftviewer.h","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"aqua::FFTViewer::render(int,int,int,int)",13,0.42,0x013CC3AD,53,0,53,0,0x013CC2A0,42,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftviewer.h","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"aqua::FFTViewer::render(int,int,int,int)",12,0.39,0x013CC3B3,53,0,53,0,0x013CC2A0,42,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftviewer.h","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"aqua::FFTViewer::render(int,int,int,int)",11,0.36,0x013CC3B5,53,0,53,0,0x013CC2A0,42,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftviewer.h","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"aqua::FFTViewer::render(int,int,int,int)",11,0.36,0x013CC3BA,54,0,54,0,0x013CC2A0,42,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\mic\fftviewer.h","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"boost::date_time::int_adapter<__int64>::operator+<unsigned int>(class boost::date_time::int_adapter<unsigned int> const &)const ",1,0.03,0x013C7481,206,0,206,0,0x013C7480,206,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\include\boost\date_time\int_adapter.hpp","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"boost::date_time::int_adapter<__int64>::pos_infinity(void)",1,0.03,0x013C4C4C,51,0,51,0,0x013C4C30,51,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\include\boost\date_time\int_adapter.hpp","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
"boost::shared_mutex::interlocked_compare_exchange<struct boost::shared_mutex::state_data>(struct boost::shared_mutex::state_data *,struct boost::shared_mutex::state_data,struct boost::shared_mutex::state_data)",1,0.03,0x013C6D7D,48,0,48,0,0x013C6D60,48,"c:\users\takana\documents\visual studio 2010\projects\auditorysceneanalysis\include\boost\thread\win32\shared_mutex.hpp","mic.exe","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\mic.exe","mic.exe",4144,
